Platform, cli, lgdt, prot, in main
KVM,   60, 139,56903, 262
KVM,   95, 141,95322, 364
KVM,   58, 122,73800, 282
KVM,   86, 119,61354, 272
KVM,   86, 122,61168, 278
KVM,   34, 122,61486, 275
KVM,   86, 119,61146, 272
KVM,   34, 137,69677, 279
KVM,   86, 122,61553, 275
KVM,   34, 119,61002, 279
KVM,   86, 122,61519, 272
KVM,   79, 129,60702, 272
KVM,   31, 122,60180, 272
KVM,   24, 129,60922, 279
KVM,   86, 119,60262, 278
KVM,   24, 129,60837, 272
KVM,   98, 140,66013, 272
KVM,   86, 119,60051, 278
KVM,   24, 129,60372, 275
KVM,   24, 129,60763, 279
KVM,  125, 141,81799, 275
KVM,   86, 122,60733, 275
KVM,   40, 141,70466, 272
KVM,   27, 126,60928, 285
KVM,   27, 126,61889, 272
KVM,   27, 129,60757, 275
KVM,   86, 122,60070, 275
KVM,   31, 122,60556, 278
KVM,   31, 122,61115, 279
KVM,   24, 132,60451, 282
KVM,   85, 132,65358, 272
KVM,   27, 129,60479, 275
KVM,   34, 119,59791, 275
KVM,   31, 122,60323, 282
KVM,   86, 119,60348, 275
KVM,   27, 129,60788, 275
KVM,   86, 122,60192, 278
KVM,   31, 122,60987, 275
KVM,   34, 119,60687, 282
KVM,   31, 122,60929, 272
KVM,   34, 122,59895, 275
KVM,   31, 122,60409, 275
KVM,   34, 119,60923, 275
KVM,   34, 119,60149, 278
KVM,   86, 122,57891, 279
KVM,   24, 132,60763, 279
KVM,   31, 122,60326, 282
KVM,   86, 119,60571, 272
KVM,   24, 129,59476, 275
KVM,   34, 125,60011, 279
KVM,   34, 122,57720, 272
KVM,   34, 119,59852, 272
KVM,   79, 132,117006, 272
KVM,   31, 125,60323, 279
KVM,   79, 126,99546, 272
KVM,   34, 119,60271, 285
KVM,   24, 129,59956, 278
KVM,   86, 122,60357, 275
KVM,   24, 129,59913, 278
KVM,   27, 126,60641, 278
KVM,   79, 129,60271, 278
KVM,   86, 122,60305, 272
KVM,   86, 119,60232, 275
KVM,   24, 129,60115, 275
KVM,   79, 129,60485, 275
KVM,   24, 129,60552, 282
KVM,   24, 129,60194, 285
KVM,   86, 122,60956, 279
KVM,   34, 119,59822, 278
KVM,   34, 119,59619, 279
KVM,   34, 119,60020, 282
KVM,   79, 126,59888, 282
KVM,   79, 129,60463, 282
KVM,   34, 119,60549, 279
KVM,   86, 122,60531, 279
KVM,   79, 129,60005, 272
KVM,   79, 129,60604, 282
KVM,   34, 119,59834, 272
KVM,   31, 122,59962, 279
KVM,   34, 119,60005, 278
KVM,   31, 122,59840, 275
KVM,   34, 122,59892, 272
KVM,   34, 119,89691, 272
KVM,   79, 126,60051, 272
KVM,   79, 129,60308, 272
KVM,   31, 122,59647, 275
KVM,   79, 129,60476, 272
KVM,   31, 122,60439, 285
KVM,   31, 122,60195, 275
KVM,   31, 122,59681, 275
KVM,   79, 129,60063, 275
KVM,   86, 122,60657, 272
KVM,   34, 119,60293, 275
KVM,   79, 129,59732, 279
KVM,   27, 126,140305, 370
KVM,  171, 129,89455, 361
KVM,   40, 162,89400, 358
KVM,   31, 122,61379, 275
KVM,   86, 119,60513, 272
KVM,   86, 122,60124, 279
KVM,   24, 129,60941, 275
KVM,   86, 122,61605, 275
KVM,   79, 129,60176, 275
KVM,   34, 119,60528, 278
KVM,   86, 122,59779, 275
KVM,   86, 122,60051, 275
KVM,   86, 125,59996, 275
KVM,   86, 122,60259, 278
KVM,   86, 122,60314, 275
KVM,   27, 119,60920, 275
KVM,   86, 122,60632, 282
KVM,   27, 129,60191, 282
KVM,   27, 126,59711, 272
KVM,   79, 126,59919, 285
KVM,   34, 119,59626, 272
KVM,   34, 119,161552, 275
KVM,   34, 119,60094, 278
KVM,   34, 119,59742, 278
KVM,   79, 126,60170, 272
KVM,   86, 119,60143, 272
KVM,   34, 119,59592, 275
KVM,   31, 122,59461, 275
KVM,   34, 119,60011, 275
KVM,   79, 129,60179, 272
KVM,   34, 119,59653, 279
KVM,   34, 119,59773, 275
KVM,   39, 147,83937, 285
KVM,   86, 119,132747, 278
KVM,   86, 119,59843, 275
KVM,   86, 122,60467, 275
KVM,   34, 119,59855, 279
KVM,   31, 122,60048, 272
KVM,   79, 129,113800, 279
KVM,   24, 129,60237, 272
KVM,   86, 122,59947, 272
KVM,   24, 129,59879, 272
KVM,   24, 129,59873, 272
KVM,   27, 129,60864, 272
KVM,   86, 122,60712, 275
KVM,   79, 129,60118, 275
KVM,   34, 119,59907, 275
KVM,   34, 119,107071, 282
KVM,   24, 129,60130, 272
KVM,   24, 129,59647, 272
KVM,   79, 129,60314, 275
KVM,   86, 122,114079, 272
KVM,   34, 119,101740, 275
KVM,   27, 126,59736, 275
KVM,   34, 119,60693, 282
KVM,   34, 119,59904, 282
KVM,   79, 132,60353, 282
KVM,   24, 129,175466, 275
KVM,   27, 119,60213, 279
KVM,   31, 122,59809, 279
KVM,   79, 126,60096, 282
KVM,   31, 122,116587, 282
KVM,   86, 119,60907, 282
KVM,   34, 119,60427, 272
KVM,   24, 129,60060, 272
KVM,   34, 119,60072, 282
KVM,   79, 129,81251, 279
KVM,   79, 129,60090, 279
KVM,   86, 119,60097, 272
KVM,   27, 126,60152, 275
KVM,   24, 129,60047, 279
KVM,   79, 129,60332, 272
KVM,   24, 132,60892, 272
KVM,   86, 122,60146, 272
KVM,   24, 129,60607, 282
KVM,   86, 122,60042, 275
KVM,   86, 122,60852, 272
KVM,   24, 129,60060, 272
KVM,   86, 122,60042, 275
KVM,   86, 122,60430, 272
KVM,   27, 126,60256, 275
KVM,   31, 122,60283, 279
KVM,   27, 129,115186, 272
KVM,   34, 119,60317, 272
KVM,   86, 119,60032, 279
KVM,   86, 122,60152, 272
KVM,   86, 122,60482, 282
KVM,   86, 119,59843, 275
KVM,   34, 119,60079, 272
KVM,   31, 122,59696, 272
KVM,   86, 119,100623, 279
