Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  344,28764,5956, 224,133540, 784, 212
Hyper-V,   44, 192,4184, 224,14068, 780, 208
Hyper-V,   44, 188,4088, 228,13232, 776, 208
Hyper-V,   44, 192,3872, 224,12696, 776, 208
Hyper-V,   44, 196,3660, 228,12584, 776, 208
Hyper-V,   40, 192,3748, 228,12468, 776, 208
Hyper-V,   40, 192,3732, 224,12196, 776, 208
Hyper-V,   40, 192,3724, 224,12048, 776, 208
Hyper-V,   40, 196,3768, 228,12044, 772, 208
Hyper-V,   40, 192,3560, 228,11992, 772, 212
Hyper-V,   40, 192,3708, 224,12024, 772, 212
Hyper-V,   40, 192,3784, 224,11992, 776, 208
Hyper-V,   44, 192,3684, 228,11976, 776, 208
Hyper-V,   40, 192,3812, 228,11940, 772, 212
Hyper-V,   60, 192,4788, 240,14612, 752, 208
Hyper-V,   60, 192,4576, 224,13032, 752, 212
Hyper-V,   60, 192,4108, 224,12664, 760, 208
Hyper-V,   44, 188,3740, 228,12516, 764, 208
Hyper-V,   44, 192,3772, 224,12264, 760, 212
Hyper-V,   40, 224,4852, 232,14172, 776, 212
Hyper-V,   40, 184,4108, 224,13400, 780, 208
Hyper-V,   44, 180,4056, 224,12564, 776, 212
Hyper-V,   40, 184,3780, 224,12356, 776, 212
Hyper-V,   44, 196,4912, 236,14204, 748, 208
Hyper-V,   44, 192,4292, 228,13312, 776, 208
Hyper-V,   40, 192,4832, 232,13412, 772, 212
Hyper-V,   44, 196,4028, 232,12640, 792, 208
Hyper-V,   44, 192,3756, 224,12456, 780, 208
Hyper-V,   40, 196,3868, 224,12236, 768, 212
Hyper-V,   44, 192,3780, 228,12068, 776, 208
Hyper-V,   44, 192,3848, 224,11992, 776, 208
Hyper-V,   40, 192,3840, 228,12096, 772, 208
Hyper-V,   44, 188,4872, 224,13340, 760, 208
Hyper-V,   44, 192,4236, 224,12748, 764, 208
Hyper-V,   60, 196,3860, 240,12524, 756, 212
Hyper-V,   40, 188,3852, 224,12184, 760, 208
Hyper-V,   60, 192,4812, 240,13104, 752, 212
Hyper-V,   40, 192,3844, 228,12708, 760, 212
Hyper-V,   40, 196,3788, 228,12564, 760, 208
Hyper-V,   60, 192,3676, 228,12080, 756, 212
Hyper-V,   44, 392,7340, 220,17672, 764, 208
Hyper-V,   40, 400,5920, 224,17072, 772, 208
Hyper-V,   40, 196,4372, 224,14320, 760, 208
Hyper-V,   40, 192,3816, 224,13696, 760, 208
Hyper-V,   44, 344,5100, 228,14968, 800, 208
Hyper-V,   44, 196,4712, 228,14108, 756, 212
Hyper-V,   44, 196,4704, 224,13748, 764, 208
Hyper-V,   44, 192,4160, 224,12948, 756, 212
Hyper-V,   40, 196,3808, 224,12532, 756, 208
Hyper-V,   60, 192,3756, 224,12308, 756, 208
Hyper-V,   60, 192,3740, 224,12464, 752, 208
Hyper-V,   44, 188,4560, 228,13548, 760, 212
Hyper-V,   60, 272,4356, 240,13384, 756, 208
