Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  378,243324,16110, 752,1000398,1980,1856
Hyper-V,  332, 792,10736, 550,35848,1826,1844
Hyper-V,  304, 828,9748, 522,34658,1820,1840
Hyper-V,  334, 872,9798, 562,34470,1826,1872
Hyper-V,  332,1000,9820, 558,34240,1984,1862
Hyper-V,  304, 936,9730, 522,34164,1836,1854
Hyper-V,  302,1066,9734, 530,34146,1818,1862
Hyper-V,  334, 810,9954, 558,34136,1828,1864
Hyper-V,  332, 954,9784, 576,34056,1818,1862
Hyper-V,  304, 874,9716, 526,34084,1822,1866
Hyper-V,  332, 972,9756, 550,34164,1836,1854
Hyper-V,  330,1012,9728, 558,34146,1836,1846
Hyper-V,  336, 982,9810, 550,34118,1826,1846
Hyper-V,  334,1034,9882, 566,34120,1818,1862
Hyper-V,  334, 962,9766, 556,34130,1818,1862
Hyper-V,  304, 834,9752, 530,34070,1822,1864
Hyper-V,  334, 944,9802, 558,34174,1826,1862
Hyper-V,  334, 784,9808, 550,34164,1818,1872
Hyper-V,  304,1062,9846, 522,34130,1834,1860
Hyper-V,  304, 956,9728, 530,34066,1828,1872
Hyper-V,  302, 872,9674, 522,34166,1826,1872
Hyper-V,  298, 882,9702, 522,34074,1818,1862
Hyper-V,  332, 990,9794, 558,34154,1836,1862
Hyper-V,  332, 910,9752, 562,34182,1818,1854
Hyper-V,  302, 916,9730, 540,38944,1818,1862
Hyper-V,  306, 900,9810, 530,34218,1828,1872
Hyper-V,  332, 932,9778, 550,34054,1842,1858
Hyper-V,  338, 792,9796, 558,34174,1834,1864
Hyper-V,  334, 918,9784, 558,34074,1826,1854
Hyper-V,  334,1116,10060, 560,34056,1818,1854
Hyper-V,  298, 890,9720, 522,34034,1822,1844
Hyper-V,  332, 946,9782, 550,34172,1836,1856
Hyper-V,  336, 920,9800, 550,34114,1830,1842
Hyper-V,  298, 882,9738, 522,34092,2350,1858
Hyper-V,  298, 878,9724, 522,34146,1818,1854
Hyper-V,  302, 878,9674, 530,34074,1820,1862
Hyper-V,  298, 900,9764, 522,34134,1814,1870
Hyper-V,  300, 996,9750, 524,34064,1826,1860
Hyper-V,  336, 936,9756, 550,34118,1824,1850
Hyper-V,  332, 928,9806, 554,34100,1818,1872
Hyper-V,  332, 924,9958, 558,34124,1822,1850
Hyper-V,  334, 944,9770, 554,34118,1818,1854
Hyper-V,  332, 924,9792, 552,34562,1836,1852
Hyper-V,  300, 910,9990, 536,34078,1826,1864
Hyper-V,  302, 832,9746, 522,34138,1818,1872
Hyper-V,  302,1184,9890, 530,34084,1818,1862
Hyper-V,  340, 852,9792, 552,34152,1814,1880
Hyper-V,  298, 926,10008, 532,34128,1818,1868
Hyper-V,  302, 886,9692, 522,34084,1818,1854
Hyper-V,  332, 882,9782, 558,34112,1822,1858
Hyper-V,  338, 904,9784, 556,34092,1824,1858
Hyper-V,  304, 888,9706, 522,34124,1822,1854
Hyper-V,  332, 848,9918, 558,34100,1818,1862
Hyper-V,  332, 938,9800, 558,34120,1826,1854
Hyper-V,  304, 900,9708, 526,34192,1818,1854
Hyper-V,  338, 850,9784, 556,34138,1818,1854
Hyper-V,  302, 868,9730, 530,34092,1980,1862
Hyper-V,  298, 892,9700, 524,34082,1818,1862
Hyper-V,  332, 838,9782, 566,34040,1818,1862
Hyper-V,  332, 892,9918, 556,34102,1818,1868
Hyper-V,  334, 846,9800, 558,34120,1818,1864
Hyper-V,  298, 882,9990, 530,34074,1820,1858
Hyper-V,  328, 864,9752, 554,34154,1836,1844
Hyper-V,  306, 856,9718, 524,34074,1822,1858
Hyper-V,  338,1002,9766, 558,34128,1828,1854
Hyper-V,  298, 880,9702, 528,34168,1818,1872
Hyper-V,  334, 872,9774, 554,34070,1826,1854
Hyper-V,  332, 954,9892, 558,34088,1840,1864
Hyper-V,  332, 864,9756, 558,34416,1988,1856
Hyper-V,  334, 950,9904, 558,34092,1818,1868
Hyper-V,  304, 848,9736, 528,34050,1828,1862
Hyper-V,  302, 868,9710, 524,34136,1818,1862
Hyper-V,  334, 926,9774, 554,34078,1818,1854
Hyper-V,  306, 890,9720, 522,34102,2012,1848
Hyper-V,  334, 864,9944, 558,34164,1818,1844
Hyper-V,  334, 850,9778, 558,34120,1818,1862
Hyper-V,  334, 936,9810, 558,34128,1826,1856
Hyper-V,  300, 900,9730, 522,34102,1822,1850
Hyper-V,  332, 828,9828, 554,34394,1822,1872
Hyper-V,  338, 936,9734, 562,34088,1818,1862
Hyper-V,  302, 868,9684, 536,34096,1826,1864
Hyper-V,  332, 946,9764, 558,34146,1820,1854
Hyper-V,  332, 944,9748, 558,34308,1836,1844
Hyper-V,  304, 900,9708, 518,34126,1820,1862
Hyper-V,  330, 950,9810, 558,34114,1830,1842
Hyper-V,  302, 864,9720, 522,34168,1822,1854
Hyper-V,  332, 978,9936, 562,34092,1818,1862
Hyper-V,  336, 920,9774, 556,34094,1818,1870
Hyper-V,  334, 944,9770, 554,34090,1828,1862
Hyper-V,  302, 872,9738, 522,34092,1818,1872
Hyper-V,  334, 944,9812, 558,34128,1826,1854
Hyper-V,  334, 970,9758, 556,34130,1818,1862
Hyper-V,  332, 820,9810, 548,34178,1830,1864
Hyper-V,  334, 842,9760, 558,34082,1824,1858
Hyper-V,  334, 962,10044, 558,34120,1822,1858
Hyper-V,  298, 878,9724, 522,34092,1818,1868
Hyper-V,  298, 900,9698, 526,34106,1822,1864
Hyper-V,  334,1170,9790, 560,34082,1832,1858
Hyper-V,  334, 934,9784, 566,34040,1826,1862
Hyper-V,  298, 880,9720, 522,34076,1818,1880
Hyper-V,  334, 934,9918, 558,34048,1826,1860
Hyper-V,  328, 954,9806, 552,34030,1818,1854
Hyper-V,  332, 838,9756, 558,34082,1824,1840
Hyper-V,  334, 892,9774, 556,34030,1828,1844
Hyper-V,  306, 908,9564, 544,33382,1826,1854
Hyper-V,  304, 866,9720, 530,33956,1836,1854
Hyper-V,  134, 720,4432, 236,15486, 914, 848
Hyper-V,  148, 672,4454, 246,15816, 914, 842
Hyper-V,  148, 728,4464, 250,15562,1082, 852
Hyper-V,  148, 716,4458, 246,15856, 920, 846
Hyper-V,  148, 720,4464, 250,15516, 942, 844
Hyper-V,  148, 670,4462, 250,15576, 986, 850
Hyper-V,  148, 748,4664, 250,15572, 944, 850
Hyper-V,  148, 710,4480, 248,15508, 910, 840
Hyper-V,  134, 706,4438, 232,15542, 924, 846
Hyper-V,  148, 768,4464, 246,15536, 920, 846
Hyper-V,  148, 706,4460, 250,15502, 990, 842
Hyper-V,  148, 708,4452, 248,15540, 960, 844
Hyper-V,  134, 750,4438, 234,15498, 904, 852
Hyper-V,  148, 690,4486, 248,15520, 924, 848
Hyper-V,  148, 724,4662, 248,15588,1394, 850
Hyper-V,  146, 722,4464, 250,15544, 938, 852
Hyper-V,  148, 758,4470, 246,15540, 944, 850
Hyper-V,  148, 686,4478, 248,15938, 934, 846
Hyper-V,  148, 694,4462, 248,15606, 908, 852
Hyper-V,  148, 738,4444, 252,15560, 944, 852
Hyper-V,  148, 696,4466, 254,15492, 940, 856
Hyper-V,  134, 708,4444, 234,15488, 904, 852
Hyper-V,  148, 750,4468, 250,15522, 914, 846
Hyper-V,  148, 698,4486, 244,15524, 914, 844
Hyper-V,  148, 706,4454, 250,15552, 978, 846
Hyper-V,  134, 728,4448, 234,15538, 912, 846
Hyper-V,  148, 666,4486, 248,15528, 914, 840
Hyper-V,  134, 700,4428, 234,15508, 924, 852
Hyper-V,  148, 670,4478, 248,15506, 920, 848
Hyper-V,  148, 726,4470, 258,15512, 908, 842
Hyper-V,  148, 716,4454, 248,15510, 904, 844
Hyper-V,  134, 688,4422, 234,15526, 910, 848
Hyper-V,  134, 728,4426, 234,15490, 940, 852
Hyper-V,  148, 740,4452, 252,15528, 948, 846
Hyper-V,  134, 714,4424, 238,15506, 916, 842
Hyper-V,  148, 668,4470, 252,15492, 914, 850
Hyper-V,  148, 704,4448, 250,15462, 908, 850
Hyper-V,  148, 670,4438, 248,15470, 900, 852
Hyper-V,  148, 714,4462, 252,15534, 912, 848
Hyper-V,  148, 758,4464, 246,15488, 914, 852
Hyper-V,  134, 722,4430, 238,15488,1364, 848
Hyper-V,  148, 684,4476, 252,15510,1374, 850
Hyper-V,  134, 686,4428, 236,15474, 910, 852
Hyper-V,  148, 730,4466, 246,15664, 932, 848
Hyper-V,  148, 736,4478, 250,15862, 922, 852
Hyper-V,  148, 714,4464, 246,15572, 914, 842
Hyper-V,  148, 740,4470, 252,15534,1138, 846
Hyper-V,  148, 670,4464, 248,15556, 910, 844
Hyper-V,  148, 662,4472, 246,15600, 908, 856
Hyper-V,  148, 714,4458, 250,15468, 908, 848
Hyper-V,  148, 720,4524, 248,15608, 916, 848
Hyper-V,  148, 714,4440, 250,15510, 922, 850
Hyper-V,  148, 758,4440, 252,15554, 912, 850
Hyper-V,  148, 746,4460, 248,15570, 904, 844
Hyper-V,  148, 684,4444, 246,15466, 930, 858
Hyper-V,  148, 730,4454, 250,15538, 914, 846
Hyper-V,  148, 700,4450, 250,15544, 944, 842
Hyper-V,  148, 680,4466, 248,15504, 948, 848
Hyper-V,  148, 710,4472, 248,15544, 920, 846
Hyper-V,  134, 736,4448, 236,15496, 934, 850
Hyper-V,  148, 692,4542, 250,15508, 922, 852
Hyper-V,  148, 686,4460, 250,15606, 910, 844
Hyper-V,  148, 686,4458, 250,15592, 988, 848
Hyper-V,  148, 716,4480, 252,15562, 910, 848
Hyper-V,  150, 688,4470, 246,15518, 910, 848
Hyper-V,  148, 680,4498, 250,15552, 944, 850
Hyper-V,  134, 708,4424, 234,15494, 914, 846
Hyper-V,  148, 700,4476, 248,15504, 922, 848
Hyper-V,  148, 754,4468, 250,15512, 928, 850
Hyper-V,  148, 660,4474, 246,15514,1404, 842
Hyper-V,  148, 724,4466, 246,15508, 914, 852
Hyper-V,  148, 744,4460, 248,15564, 920, 848
Hyper-V,  148, 746,4470, 250,15500, 934, 848
Hyper-V,  148, 736,4520, 250,15500, 906, 844
Hyper-V,  148, 718,4448, 250,15550, 908, 842
Hyper-V,  134, 688,4424, 234,15588, 936, 848
Hyper-V,  148, 742,4464, 248,15724, 924, 852
Hyper-V,  148, 674,4476, 250,15500, 930, 854
Hyper-V,  148, 672,4476, 248,15512, 938, 846
Hyper-V,  134, 648,4458, 236,18520, 836, 848
Hyper-V,  148, 642,4504, 246,15484,1094, 846
Hyper-V,  148, 818,4458, 246,15494, 930, 848
Hyper-V,  148,1228,4470, 246,15502, 910, 856
Hyper-V,  148, 712,4462, 248,15580, 956, 848
Hyper-V,  148, 830,4434, 248,15656, 914, 844
Hyper-V,  148, 804,4462, 248,15502, 910, 852
Hyper-V,  134, 720,4484, 234,15492, 934, 846
Hyper-V,  134, 716,4448, 234,15686, 934, 850
Hyper-V,  146, 660,4572, 250,16054, 938, 846
Hyper-V,  148, 682,4500, 246,15714, 908, 852
Hyper-V,  148, 730,4524, 248,15906, 918, 848
Hyper-V,  148, 710,4532, 248,15772, 928, 852
Hyper-V,  148, 680,4530, 248,15708, 928, 856
Hyper-V,  148, 716,4504, 248,16050,1018, 854
Hyper-V,  148, 920,4520, 246,15606, 910, 842
Hyper-V,  148, 658,4494, 248,15602, 902, 850
Hyper-V,  148, 726,4508, 252,15698, 918, 854
Hyper-V,  148,1130,4500, 248,16132, 928, 846
